frh1_final ADY.gz BAS.gz CEU.gz CLM.gz ESN.gz FRN.gz HZP.gz IBS.gz KLS.gz MAN.gz MSL.gz MXL.gz MZB.gz PEL.gz PTH.gz PUR.gz RUS.gz SAR.gz
5496307 0.142857 0 0 0.111111 0 0 0.441176 0 0.0263158 0.111111 0.184211 0.208333 0.0789474 0.214286 0 0.166667 0 0
5664803 0.0357143 0 1 1 0 0.05 0.0294118 1 0.0526316 0 0 1 0 1 0.1 1 0.1 0
6002270 0.142857 0 0.05 0.333333 0 0 0.176471 0.0333333 0 0 0 0.375 0.105263 0.785714 0.1 0.166667 0.125 0.075
6014102 0.107143 0.0263158 0.05 0.333333 0 0.075 0.147059 0.0333333 0.0789474 0 0 0.333333 0.131579 0.857143 0.175 0.333333 0.125 0.05
6214227 0 0 0 0.388889 0.15 0 0.0294118 0.0333333 0 0 0.0789474 0.333333 0.0263158 0.642857 0.05 0.111111 0 0
6944745 0.142857 0.184211 0.1 0.444444 0 0.225 0.0588235 0.1 0.131579 0.0277778 0 0.333333 0.0263158 0.857143 0.175 0.166667 0.175 0.025
7074424 0.0714286 0.0263158 0 0.388889 0 0.075 0 0 0 0 0 0.375 0 0.857143 0 0.111111 0 0
7074425 0.142857 0.263158 0.15 0.444444 0 0.3 0.0588235 0.0666667 0.289474 0.0277778 0 0.416667 0.0526316 0.928571 0.15 0.222222 0.125 0
7074426 0.142857 0.263158 0.15 0.444444 0 0.3 0.0588235 0.0666667 0.289474 0.0277778 0 0.416667 0.0526316 0.928571 0.15 0.222222 0.125 0
7074427 0.142857 0.263158 0.15 0.444444 0 0.3 0.0588235 0.0666667 0.289474 0.0277778 0 0.416667 0.0526316 0.928571 0.15 0.222222 0.125 0
7202731 0.0357143 0.0526316 0 0.5 0.075 0.025 0.0588235 0.1 0 0.0555556 0.0789474 0.291667 0.0526316 0.642857 0.2 0.111111 0.05 0.025
7698933 0.857143 0.763158 0.9 0.444444 0.85 0.925 0.941176 0.833333 0.921053 0.972222 0.947368 0.875 0.894737 0.642857 1 0.944444 0.9 0.75
7733994 0.0357143 0.0263158 0 0.388889 0 0.075 0 0.0666667 0.0263158 0 0 0.291667 0 0.285714 0.025 0.0555556 0 0.025
7803848 0.107143 0.0263158 0.05 0.444444 0.025 0.025 0.0294118 0.1 0.105263 0 0.0263158 0.208333 0 0.357143 0.05 0.222222 0.075 0.05
7834564 0.107143 0.0263158 0.1 0.5 0.025 0.05 0.0588235 0.0666667 0.0789474 0 0.0263158 0.166667 0 0.428571 0.05 0.166667 0.025 0.025
8546816 0.107143 0.0526316 0 0.111111 0.075 0.1 0.470588 0 0.131579 0.0555556 0 0.0833333 0.0526316 0.214286 0.075 0.111111 0.125 0
9016941 0.0714286 0 0 0 0 0.05 0.0588235 0 0.368421 0 0 0.0833333 0.0263158 0 0.025 0.0555556 0.05 0.1
9125158 0.0357143 0.0263158 0.05 0.0555556 0 0.05 0.0882353 0.0333333 0.368421 0 0 0.0833333 0 0 0.1 0 0.05 0.025
9228053 0.0714286 0.0526316 0 0.166667 0.05 0.025 0.0588235 0.0666667 0.0263158 0.111111 0.0263158 0.291667 0.0263158 0.642857 0.075 0.111111 0 0
9870370 0.0714286 0.0263158 0 0.111111 0.025 0.075 0.323529 0.0333333 0.605263 0.0277778 0 0.25 0.184211 0.214286 0.25 0.111111 0.125 0.1
10260980 0.0714286 0 0.95 0.888889 0.275 0.025 0.0882353 0.966667 0.0526316 0 0.342105 0.916667 0.0263158 1 0 0.833333 0.05 0
10597558 0.0357143 0.0263158 0.15 0 0 0.05 0.117647 0.0666667 0.421053 0 0 0.0416667 0.0263158 0 0.125 0 0.125 0.025
11017488 0.107143 0.289474 0.85 0.277778 0.375 0.15 0.0588235 0.433333 0.0789474 0.0555556 0.157895 0.541667 0.105263 0.571429 0.075 0.277778 0.3 0.2
11079905 0.0714286 0.105263 0.7 0.277778 0.125 0.15 0.0588235 0.3 0.0263158 0.166667 0 0.25 0.0526316 0.214286 0.075 0.222222 0.1 0.075
11079906 0.0714286 0.105263 0.7 0.277778 0.125 0.15 0.0588235 0.3 0.0263158 0.166667 0 0.25 0.0526316 0.214286 0.075 0.222222 0.1 0.075
11079921 0.0714286 0.105263 0.7 0.277778 0.125 0.15 0.0588235 0.333333 0.0263158 0.166667 0 0.25 0.0526316 0.214286 0.075 0.222222 0.1 0.075
11080000 0.107143 0.105263 0.7 0.333333 0.125 0.175 0.0588235 0.3 0.0263158 0.194444 0.0263158 0.333333 0.0263158 0.357143 0.125 0.222222 0.1 0.075
11080011 0.107143 0.105263 0.7 0.277778 0.125 0.175 0.0588235 0.266667 0.0263158 0.194444 0.0263158 0.333333 0 0.285714 0.125 0.222222 0.1 0.075
11080013 0.107143 0.131579 0.7 0.277778 0.125 0.2 0.0294118 0.266667 0.0263158 0.166667 0.0263158 0.333333 0 0.285714 0.125 0.222222 0.125 0.075
11082920 0.0357143 0.105263 0.7 0.222222 0.15 0.05 0.0294118 0.233333 0.0263158 0.138889 0 0.166667 0.0526316 0.142857 0.1 0.222222 0.075 0.075
11082938 0.0357143 0.105263 0.7 0.222222 0.2 0.05 0.0294118 0.233333 0.0263158 0.138889 0 0.166667 0.0526316 0.142857 0.1 0.222222 0.075 0.075
11082961 0.0357143 0.105263 0.7 0.222222 0.2 0.05 0.0294118 0.233333 0.0263158 0.138889 0 0.166667 0.0526316 0.142857 0.1 0.222222 0.075 0.075
11082962 0.0357143 0.105263 0.7 0.222222 0.2 0.05 0.0294118 0.233333 0.0263158 0.138889 0 0.166667 0.0526316 0.142857 0.1 0.222222 0.075 0.075
11082970 0.0357143 0.105263 0.7 0.222222 0.2 0.05 0.0294118 0.233333 0.0263158 0.138889 0 0.166667 0.0526316 0.142857 0.1 0.222222 0.075 0.075
11082981 0.0357143 0.105263 0.7 0.222222 0.2 0.05 0.0294118 0.233333 0.0263158 0.138889 0 0.166667 0.0526316 0.142857 0.1 0.222222 0.075 0.075
11082983 0.0357143 0.105263 0.7 0.222222 0.2 0.05 0.0294118 0.233333 0.0263158 0.138889 0 0.166667 0.0526316 0.142857 0.1 0.222222 0.075 0.075
11082989 0.0357143 0.105263 0.7 0.222222 0.2 0.05 0.0294118 0.233333 0.0263158 0.138889 0 0.166667 0.0526316 0.142857 0.1 0.222222 0.075 0.075
11083005 0.0357143 0.105263 0.7 0.222222 0.2 0.05 0.0294118 0.233333 0.0263158 0.138889 0 0.166667 0.0263158 0.142857 0.1 0.222222 0.075 0.075
11083006 0.0357143 0.105263 0.7 0.222222 0.2 0.05 0.0294118 0.233333 0.0263158 0.138889 0 0.166667 0.0263158 0.142857 0.1 0.222222 0.075 0.075
11083556 0.0357143 0.0263158 0.55 0.222222 0 0.05 0.0294118 0.2 0 0.0555556 0 0.166667 0 0.142857 0.05 0.166667 0.075 0.025
11084232 0.0357143 0.0789474 0.7 0.222222 0.15 0.075 0.0294118 0.2 0.0263158 0.111111 0 0.166667 0 0.142857 0.075 0.222222 0.1 0.05
11084233 0.0357143 0.0789474 0.7 0.222222 0.15 0.075 0.0294118 0.2 0.0263158 0.111111 0 0.166667 0 0.142857 0.075 0.222222 0.1 0.05
11084711 0.0357143 0.0789474 0.7 0.222222 0.15 0.025 0.0294118 0.2 0.0263158 0.111111 0 0.166667 0 0.142857 0.075 0.222222 0.1 0.05
11084752 0.0357143 0.0789474 0.7 0.222222 0.15 0.025 0.0294118 0.2 0.0263158 0.111111 0 0.166667 0 0.142857 0.075 0.222222 0.1 0.05
11084769 0.0357143 0.0789474 0.7 0.222222 0.15 0.025 0.0294118 0.2 0.0263158 0.111111 0 0.166667 0 0.142857 0.075 0.222222 0.1 0.05
11084773 0.0357143 0.0789474 0.7 0.222222 0.15 0.025 0.0294118 0.2 0.0263158 0.111111 0 0.166667 0 0.142857 0.075 0.222222 0.1 0.05
11084779 0.0714286 0.0789474 0.7 0.222222 0.15 0.025 0.0588235 0.2 0.0263158 0.138889 0 0.166667 0 0.142857 0.1 0.222222 0.2 0.05
11085418 0.0357143 0.105263 0.7 0.222222 0.15 0.025 0.0294118 0.233333 0.0263158 0.138889 0.0526316 0.208333 0 0.142857 0.075 0.222222 0.1 0.125
11086639 0.0357143 0.105263 0.6 0.166667 0.15 0.025 0.0294118 0.2 0.0263158 0.138889 0 0 0.0263158 0 0.1 0.111111 0.125 0.075
11389497 0.0357143 0.0789474 0.1 0 0.1 0 0.0588235 0.166667 0 0.166667 0.0789474 0 0.105263 0 0.05 0 0.125 0.375
11414977 0.107143 0.131579 0.05 0 0 0.05 0.0588235 0.133333 0 0 0 0 0.0789474 0 0.05 0 0.1 0.35
11433166 0.107143 0.131579 0.05 0 0 0.05 0.0588235 0.133333 0 0 0 0 0.0789474 0 0.05 0 0.1 0.35
11433903 0.107143 0.131579 0.05 0 0 0.05 0.0588235 0.133333 0 0 0 0 0.0789474 0 0.05 0 0.1 0.35
11436526 0.107143 0.131579 0.1 0 0 0.075 0.0588235 0.166667 0.0526316 0 0 0 0.0789474 0 0.075 0 0.1 0.35
13476447 0.142857 0.236842 1 1 0.275 0.125 0.147059 1 0.0526316 0.222222 0.210526 1 0.157895 1 0.15 1 0.3 0.05
13744527 0.178571 0.0789474 0.15 0.333333 0 0.15 0.117647 0.133333 0.0789474 0 0 0.708333 0.105263 0.571429 0.125 0.333333 0.175 0.075
13784059 0.0357143 0 0 0.222222 0 0 0 0 0 0 0 0.5 0 0.571429 0.025 0.111111 0.025 0
13972894 0 0.0526316 0.05 0 0 0 0.323529 0.0333333 0.0526316 0 0.0526316 0.0416667 0.0263158 0 0.075 0.0555556 0.075 0.05
14029608 0.0357143 0 0 0.277778 0 0.025 0 0.0333333 0.105263 0 0 0.375 0 0.642857 0.025 0.166667 0.05 0
14034211 0.0357143 0.0263158 0.05 0.222222 0 0.025 0.0294118 0 0.0263158 0 0 0.375 0 0.642857 0.05 0.222222 0.1 0.025
14518861 0.214286 0.210526 0.15 0.166667 0.025 0.075 0.176471 0.0666667 0.736842 0.0277778 0.0789474 0.208333 0.368421 0.142857 0.35 0.333333 0.2 0.075
14527441 0.142857 0.157895 0.1 0.166667 0 0.025 0.176471 0.0333333 0.657895 0 0.0263158 0.208333 0.289474 0.142857 0.275 0.333333 0.175 0.025
14532316 0.0357143 0.0526316 0 0 0 0 0.0882353 0.0333333 0.368421 0 0 0 0.0789474 0 0.15 0.111111 0.05 0.025
14546231 0.142857 0.157895 0.1 0.166667 0.05 0.025 0.176471 0.0333333 0.657895 0 0.0263158 0.208333 0.289474 0.142857 0.275 0.333333 0.125 0.025
14564319 0.0357143 0.0526316 0 0 0 0 0.117647 0.0333333 0.368421 0 0 0 0.0789474 0 0.15 0.111111 0.05 0.025
14690351 0.0357143 0.0789474 0 0.0555556 0 0 0.117647 0.0666667 0.421053 0 0 0 0.105263 0 0.175 0.111111 0.075 0.025
14703604 0 0.0789474 0 0.0555556 0 0 0.117647 0.0666667 0.421053 0 0 0 0.105263 0 0.15 0.111111 0.025 0.025
14749226 0.0357143 0.0526316 1 1 0 0.025 0 1 0 0 0 1 0.0263158 1 0.025 1 0.05 0
14776787 0.107143 0 0.05 0.166667 0 0 0.382353 0 0 0 0 0.125 0 0.214286 0 0.0555556 0.2 0
14944315 0.0357143 0.0789474 0 0.0555556 0 0.05 0.0882353 0.0666667 0.394737 0 0 0.0833333 0 0 0.05 0 0.05 0.075
14972686 0.0714286 0.210526 0 0.0555556 0 0.1 0.0882353 0.1 0.473684 0 0 0.0833333 0 0.0714286 0.125 0.0555556 0.075 0.1
14975636 0.0714286 0.157895 0 0.0555556 0 0.1 0.0882353 0.1 0.473684 0 0 0.0833333 0 0.0714286 0.125 0.0555556 0.075 0.1
15007553 0.0714286 0.157895 0 0.111111 0 0.1 0.0588235 0.1 0.5 0 0 0.0833333 0 0.0714286 0.175 0.0555556 0.125 0.15
15037389 0.107143 0.105263 0 0.166667 0.05 0.1 0.117647 0.166667 0.552632 0.0277778 0.0263158 0.0416667 0.0526316 0.0714286 0.2 0.0555556 0.15 0.25
15038096 0.107143 0.105263 0 0.166667 0.05 0.1 0.117647 0.166667 0.552632 0.0277778 0.0263158 0.0416667 0.0526316 0.0714286 0.225 0.0555556 0.15 0.25
15056953 0.107143 0.131579 0 0.166667 0 0.125 0.147059 0.166667 0.552632 0 0 0.0416667 0 0.0714286 0.175 0.0555556 0.225 0.225
15059061 0.107143 0.131579 0 0.222222 0 0.125 0.147059 0.166667 0.552632 0.0277778 0 0.0416667 0 0.0714286 0.175 0.0555556 0.225 0.225
16541894 0.0714286 0 0.1 0 0 0.075 0.0588235 0.0333333 0.447368 0 0 0 0 0 0.15 0 0.075 0.025
16559649 0.0714286 0 0.1 0.0555556 0 0.075 0.117647 0.0333333 0.473684 0 0 0 0.0789474 0.214286 0.2 0 0.075 0.025
17277892 0.428571 0.184211 0.05 0.111111 0 0.15 0.117647 0.166667 0.0526316 0 0 0 0.0789474 0 0.075 0 0.125 0.125
17357276 0.571429 0.184211 0.1 0.222222 0 0.275 0.235294 0.3 0.0526316 0 0.0263158 0.0416667 0.210526 0.0714286 0.125 0.166667 0.175 0.35
17357839 0.571429 0.184211 0.1 0.222222 0.05 0.275 0.235294 0.3 0.0526316 0.0833333 0.0526316 0.0416667 0.210526 0.0714286 0.125 0.166667 0.175 0.35
17587881 0.392857 0.210526 0.95 0.833333 0 0.175 0.117647 1 0.0263158 0.0277778 0 0.791667 0.236842 0.857143 0.025 0.833333 0.275 0.15
19711159 0 0 0 0 0.15 0 0 0 0 0.555556 0.210526 0.0416667 0.0526316 0 0 0 0 0
19711418 0 0 0 0 0.15 0 0 0 0 0.555556 0.210526 0.0416667 0.0526316 0 0 0 0 0
19711939 0 0 0 0 0.15 0 0 0 0 0.555556 0.210526 0.0416667 0.0526316 0 0 0 0 0
19717233 0 0 0 0 0.15 0 0 0 0 0.555556 0.210526 0.0416667 0.0526316 0 0 0 0 0
19720563 0 0 0 0 0.15 0 0 0 0 0.555556 0.210526 0.0416667 0.0526316 0 0 0 0 0
19722284 0 0 0 0 0.15 0 0 0 0 0.555556 0.210526 0.0416667 0.0526316 0 0 0 0 0
20814981 0.892857 0.921053 0.3 0.222222 0.8 0.9 0.794118 0.166667 0.947368 0.888889 0.894737 0.291667 0.710526 0 0.95 0.333333 0.85 0.925
22507624 0.0357143 0.131579 0.15 0.166667 0 0.025 0 0.0333333 0.157895 0 0 0.0833333 0.105263 0.785714 0.2 0.111111 0.2 0.025
22555257 0 0.0526316 0 0.111111 0 0.025 0.0588235 0 0.105263 0 0 0.125 0 0.785714 0.025 0.111111 0.175 0
22635349 0.214286 0.157895 0.3 0.166667 0 0.2 0.117647 0.166667 0.105263 0 0 0.166667 0.0526316 0.857143 0.175 0.111111 0.15 0.15
22715149 0 0 0.05 0.222222 0 0.05 0 0 0.0789474 0 0 0.166667 0.0263158 0.785714 0.025 0.111111 0.05 0
22724648 0.142857 0.0526316 0 0.277778 0 0.25 0.0588235 0.266667 0.184211 0 0 0.166667 0.157895 0.785714 0.1 0.111111 0.05 0.075
22967890 0 0 1 1 0 0.05 0 1 0 0 0 1 0 1 0.025 1 0.05 0.025
23033182 0.321429 0.0526316 0 0.0555556 0 0.025 0.0588235 0.0333333 0.105263 0 0 0.0833333 0.0526316 0.0714286 0.15 0.0555556 0.025 0.05
23050117 0.0714286 0.131579 0.3 0.111111 0 0.225 0.0294118 0.333333 0.0526316 0 0 0.208333 0.0789474 0.142857 0.075 0.222222 0.2 0.55
23362205 0.0357143 0.0789474 0.15 0 0 0.05 0 0.1 0.0263158 0 0 0 0.0263158 0.0714286 0 0.166667 0 0.4
23379890 0 0 0.65 0.444444 0.325 0 0 0.7 0 0.194444 0.210526 0.666667 0.0526316 0.571429 0 0.555556 0 0.025
23555088 0.428571 0.289474 0.1 0.277778 0.025 0.4 0.264706 0.133333 0.0789474 0.0277778 0.0526316 0.25 0.552632 0.142857 0.425 0.111111 0.175 0.125
23768204 0 0 0 0 0.1 0.025 0.0294118 0.0333333 0 0.138889 0.210526 0 0.342105 0 0 0 0 0
24174520 0 0 0.85 0.944444 0.025 0 0.0588235 0.9 0.0263158 0 0 0.875 0 0.928571 0 0.777778 0 0
24405041 0.607143 0.263158 0.3 0.166667 0.05 0.225 0.176471 0.166667 0.263158 0 0 0.125 0.0789474 0.142857 0.375 0.166667 0.225 0.2
24407960 0.857143 0.421053 0.5 0.166667 0.25 0.325 0.323529 0.3 0.421053 0.166667 0.236842 0.208333 0.368421 0.142857 0.5 0.277778 0.35 0.425
24815814 0 0.131579 0.05 0.111111 0 0.05 0.0588235 0.0333333 0 0 0 0.0833333 0 0.214286 0.025 0.0555556 0.325 0
24818368 0 0.0526316 0 0 0.025 0.1 0 0.0333333 0.0263158 0.0555556 0.0526316 0.0416667 0.421053 0.0714286 0.05 0.111111 0.025 0.025
24833240 0 0.184211 0.1 0.166667 0.025 0.025 0.176471 0.1 0.0526316 0 0 0.166667 0.0263158 0.142857 0.05 0.166667 0.4 0.075
24833826 0 0.131579 0.1 0.0555556 0.075 0.025 0.0588235 0.1 0 0 0.0789474 0.0833333 0 0.0714286 0.025 0.0555556 0.35 0
24877421 0 0.0789474 1 1 0 0.025 0 1 0 0 0 1 0 1 0 1 0 0.025
24888606 0 0.210526 0 0 0 0.05 0 0.133333 0.105263 0 0 0.0833333 0.0263158 0.214286 0.025 0 0.325 0
25003508 0 0.0526316 0 0 0.175 0 0 0.0666667 0 0.25 0.0789474 0 0.368421 0 0 0.0555556 0 0
25012656 0 0.0263158 0.05 0.0555556 0.15 0 0 0.0333333 0 0.166667 0.184211 0.0416667 0.342105 0 0 0.0555556 0 0.025
25269452 0 0 1 1 0 0 0 1 0 0 0 1 0 1 0 1 0 0
25282676 0.107143 0.105263 1 1 0 0 0 1 0 0 0 1 0.0526316 1 0.025 1 0 0.075
26915384 0.0714286 0.0789474 0.05 0 0 0.1 0.117647 0.0666667 0.394737 0 0 0.0416667 0 0 0.175 0.0555556 0.05 0.025
27070289 0.571429 0.578947 0.15 0.0555556 0.225 0.625 0.323529 0.1 0.552632 0.694444 0.315789 0.0416667 0.815789 0 0.625 0.111111 0.575 0.575
27169677 0.0357143 0.157895 0 0 0.025 0.225 0.117647 0 0.105263 0.222222 0 0 0.605263 0 0.3 0 0.1 0.025
27255054 0.142857 0.131579 0 0 0 0.05 0.323529 0.0666667 0.131579 0 0 0.0416667 0 0 0.1 0 0 0
27257489 0.142857 0.105263 0 0 0 0.05 0.323529 0.0666667 0.131579 0 0 0.0416667 0 0 0.05 0 0 0
27258767 0.142857 0.105263 0 0 0 0.05 0.323529 0.0666667 0.131579 0 0 0.0416667 0 0 0.05 0 0 0
27259401 0.142857 0.105263 0 0 0 0.05 0.323529 0.0666667 0.131579 0 0 0.0416667 0 0 0.075 0 0 0
27260554 0.142857 0.105263 0 0 0 0.05 0.323529 0.0666667 0.131579 0 0 0.0416667 0 0 0.05 0 0 0
27261944 0.142857 0.105263 0 0 0 0.05 0.323529 0.0666667 0.131579 0 0 0.0416667 0 0 0.05 0 0 0
27264357 0.142857 0.105263 0 0 0 0.05 0.323529 0.0666667 0.131579 0 0 0.0416667 0 0 0.05 0 0 0
27265434 0.142857 0.105263 0 0 0 0.05 0.323529 0.0666667 0.131579 0 0 0.0416667 0 0 0.05 0 0 0
27269708 0.142857 0.105263 0 0 0 0.05 0.323529 0.0666667 0.131579 0 0 0.0416667 0 0 0.05 0 0 0
27272986 0.142857 0.105263 0 0 0 0.05 0.323529 0.0666667 0.131579 0 0 0.0416667 0 0 0.05 0 0 0
27282653 0.142857 0.105263 0 0 0 0.05 0.323529 0.0666667 0.131579 0 0 0.0416667 0 0 0.05 0 0 0
27438828 0.107143 0.0263158 0.05 0.111111 0 0.075 0.176471 0.0333333 0.184211 0 0 0.541667 0 0.428571 0.175 0.111111 0 0.075
27641705 0.0714286 0.0263158 0.1 0.111111 0 0.05 0.0588235 0.0333333 0.368421 0 0 0 0.0526316 0 0.125 0 0.075 0.025
28149832 1 1 1 0.944444 0.8 0.975 0.970588 1 0.921053 0.638889 0.868421 1 0.578947 1 0.975 0.888889 0.975 0.975
28150544 1 1 1 0.944444 0.8 0.975 0.970588 1 0.921053 0.638889 0.868421 1 0.578947 1 0.975 0.888889 0.975 0.975
28150953 0 0 0 0.0555556 0.2 0.025 0.0294118 0 0.0789474 0.361111 0.131579 0 0.421053 0 0.025 0.111111 0.025 0.025
28268558 0.214286 0.0526316 0 0 0 0.05 0.441176 0.0666667 0.0789474 0 0 0.125 0 0 0.075 0 0.075 0
28269315 0.214286 0.0526316 0 0.0555556 0 0.05 0.441176 0.0666667 0.0789474 0 0 0.166667 0 0.142857 0.1 0.0555556 0.125 0
28292789 0.214286 0.0526316 0 0 0 0.05 0.441176 0.0333333 0.0789474 0 0 0.125 0 0 0.075 0 0.075 0
28392437 0 0 0 0 0.425 0.025 0.0294118 0 0.0526316 0.472222 0.210526 0 0.5 0 0.025 0.222222 0.025 0.025
28407958 0.142857 0.0526316 0 0.0555556 0 0 0.470588 0 0.0789474 0 0 0.166667 0 0.0714286 0.1 0.0555556 0.125 0
28450179 0 0 0 0 0.45 0.025 0.0294118 0 0.0526316 0.527778 0.289474 0 0.526316 0 0.025 0.277778 0.025 0.025
28471560 0.214286 0.0526316 0 0.0555556 0 0.05 0.5 0.0666667 0.0789474 0 0 0.166667 0 0.142857 0.075 0.0555556 0.125 0
29410594 0.392857 0.552632 0.05 0.0555556 0.025 0.325 0.352941 0 0.315789 0.0277778 0 0 0.578947 0 0.375 0 0.325 0.375
29634465 1 1 0 0 0.05 1 1 0 1 0.972222 0 0 1 0 1 0 1 1
30348756 0.678571 0.578947 0 0 0 0.7 0.647059 0 0.973684 0.638889 0 0 0.868421 0 0.65 0 0.625 0.625
30531627 0 0.0263158 0.05 0.333333 0 0 0.0588235 0.0333333 0.131579 0 0 0.458333 0 0.357143 0 0.0555556 0.05 0
30752502 0.107143 0 1 1 0 0 0 1 0 0 0 1 0.0789474 1 0 1 0.05 0.05
31607723 0.107143 0.0789474 0.1 0.333333 0 0.125 0 0.133333 0 0 0 0.0416667 0.0263158 0 0.025 0 0.1 0.025
